Identifiant,Nom,Pseudo,ID,Yeux,Cheveux,Sex,Année_apparition
1863,Susan Storm,La Femme Invisible,Public Identity,Blue Eyes,Blond Hair,F,1961
2614,Ororo Munroe ,Tornade, Public Identity,Blue Eyes,White Hair,F, 1975
2512,Sorcière Rouge,Wanda Maximoff,Public Identity,Green Eyes,Brown Hair,F,1964
1976,La Guêpe,Janet van Dyne,Public Identity,Blue Eyes,Auburn Hair,F,1963
5219,Jean Grey (Earth-616),\/Jean_Grey_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,F,1963
6545,Veuve Noire,Natalia Romanova,Public Identity,Good Characters,Green Eyes,Red Hair,F,1964
